antibody_id,virus_id,neut
0.5gamma,6535_3,1
0.5gamma,700010040_C9_4520,0
0.5gamma,89_6,1
0.5gamma,AC10_29,0
0.5gamma,BAL_01,1
0.5gamma,CAAN5342,0
0.5gamma,CAP210_E8,0
0.5gamma,CAP45_G3,0
0.5gamma,CH106_C,0
0.5gamma,DU156_12,0
0.5gamma,DU172_17,0
0.5gamma,DU422_1,0
0.5gamma,HXB2,0
0.5gamma,JRFL,1
0.5gamma,MOKW,1
0.5gamma,PVO_4,1
0.5gamma,QH0692_42,1
0.5gamma,RHPA4259_7,1
0.5gamma,SC422_8,0
0.5gamma,TH966_8,0
0.5gamma,TH976_17,0
0.5gamma,THRO4156,0
0.5gamma,THRO_C,0
0.5gamma,TRJO4551_58,1
0.5gamma,TRO_11,0
0.5gamma,UG037_8,0
0.5gamma,WITO4160_33,1
0.5gamma,WITO_C,0
0.5gamma,ZM214_15,0
0.5gamma,ZM249_1,0
0.5gamma,ZM53_12,0
0PV-b.01,0013095_2_11,0
0PV-b.01,001428_2_42,0
0PV-b.01,0077_V1_C16,1
0PV-b.01,00836_2_5,0
0PV-b.01,0260_V5_C36,0
0PV-b.01,0330_V4_C3,0
0PV-b.01,0439_V5_C1,0
0PV-b.01,0815_V3_C3,1
0PV-b.01,0921_V2_C14,0
0PV-b.01,16055_2_3,0
0PV-b.01,16845_2_22,0
0PV-b.01,16936_2_21,0
0PV-b.01,191821_E6_1,0
0PV-b.01,231965_C1,0
0PV-b.01,235_47,0
0PV-b.01,242_14,0
0PV-b.01,246_F3_C10_2,0
0PV-b.01,247_23,0
0PV-b.01,25711_2_4,0
0PV-b.01,25925_2_22,0
0PV-b.01,26191_2_48,0
0PV-b.01,3016_V5_C45,0
0PV-b.01,3168_V4_C10,0
0PV-b.01,3337_V2_C6,0
0PV-b.01,3365_V2_C20,0
0PV-b.01,3415_V1_C1,0
0PV-b.01,3468_V1_C12,0
0PV-b.01,3637_V5_C3,0
0PV-b.01,3718_3_11,0
0PV-b.01,3873_V1_C24,0
0PV-b.01,3988_25,1
0PV-b.01,45_01DG5,0
0PV-b.01,57128_VRC15,0
0PV-b.01,6095_V1_C10,0
0PV-b.01,6101_1,0
0PV-b.01,620345_C1,0
0PV-b.01,6322_V4_C1,0
0PV-b.01,6471_V1_C16,0
0PV-b.01,6535_3,0
0PV-b.01,6540_V4_C1,0
0PV-b.01,6631_V3_C10,0
0PV-b.01,6785_V5_C14,0
0PV-b.01,89_6,0
0PV-b.01,928_28,0
0PV-b.01,92BR025_9,0
0PV-b.01,92RW020_2,0
0PV-b.01,96ZM651_02,1
0PV-b.01,A03349M1_VRC4A,0
0PV-b.01,A07412M1_VRC12,0
0PV-b.01,AC10_29,0
0PV-b.01,BAL_01,1
0PV-b.01,BB201_B42,1
0PV-b.01,BB539_2B13,0
0PV-b.01,BG505_W6M_C2,1
0PV-b.01,BJOX010000_06_2,0
0PV-b.01,BJOX028000_10_3,0
0PV-b.01,BR07,0
0PV-b.01,BS208_B1,0
0PV-b.01,BX08_16,0
0PV-b.01,C1080_C3,0
0PV-b.01,C2101_C1,0
0PV-b.01,C3347_C11,0
0PV-b.01,C4118_9,0
0PV-b.01,CAAN5342,0
0PV-b.01,CAP210_E8,0
0PV-b.01,CAP256_SU,0
0PV-b.01,CAP45_G3,0
0PV-b.01,CH038_12,0
0PV-b.01,CH070_1,0
0PV-b.01,CH181_12,0
0PV-b.01,CM244_EC1,0
0PV-b.01,CNE10,0
0PV-b.01,CNE12,0
0PV-b.01,CNE15,0
0PV-b.01,CNE19,1
0PV-b.01,CNE20,0
0PV-b.01,CNE3,0
0PV-b.01,CNE30,0
0PV-b.01,CNE31,0
0PV-b.01,CNE4,0
0PV-b.01,CNE40,1
0PV-b.01,CNE53,0
0PV-b.01,CNE55,0
0PV-b.01,CNE56,1
0PV-b.01,CNE58,0
0PV-b.01,CNE8,0
0PV-b.01,DJ263_8,0
0PV-b.01,DU151_02,0
0PV-b.01,DU156_12,0
0PV-b.01,DU172_17,0
0PV-b.01,DU422_1,0
0PV-b.01,H086_8,0
0PV-b.01,HT593_1,0
0PV-b.01,HXB2,1
0PV-b.01,JRCSF,0
0PV-b.01,JRFL,0
